id,date,rank,points,comments,title,url
46661505,"Saturday, January 17, 2026",29,5,0,Kagi Small Web,https://kagi.com/smallweb
46661936,"Sunday, January 18, 2026",12,25,21,The Death of Software Development,https://mike.tech/blog/death-of-software-development
46662886,"Sunday, January 18, 2026",11,36,12,"Texas A&M university is banning Plato, citing his ""gender ideology""",https://lithub.com/texas-am-is-banning-plato-citing-his-gender-ideology/
46662503,"Sunday, January 18, 2026",15,69,40,Congress Wants to Hand Your Parenting to Big Tech,https://www.eff.org/deeplinks/2026/01/congress-wants-hand-your-parenting-big-tech
46662401,"Sunday, January 18, 2026",17,10,3,"If writing the code is the easy part, why would I want someone else to write it?",https://tldraw.dev/blog/stay-away-from-my-trash
46630869,"Sunday, January 18, 2026",22,10,11,Show HN: I built a game on my old phone without knowing what I was building,https://www.kikkupico.com/posts/vibe-discovery/
46663785,"Sunday, January 18, 2026",10,4,5,GTA 6's Dynamic Economy Will Change Open‑World Games Forever,https://techfusiondaily.com/gta-6-dynamic-economy/
46665967,"Sunday, January 18, 2026",20,29,40,The Walls Are Closing in on Tesla,https://www.planetearthandbeyond.co/p/the-walls-are-closing-in-on-tesla
46666916,"Sunday, January 18, 2026",28,26,2,Throwing it all away over the Mercator projection,https://danieldrezner.substack.com/p/what-is-trump-even-doing-at-this
46668107,"Sunday, January 18, 2026",4,6,0,The next-gen SQLite won't look like SQLite,https://gist.github.com/radarroark/03a0724484e1111ef4c05d72a935c42c
46590480,"Sunday, January 18, 2026",17,6,5,Ask HN: Does PPP (Parity Pricing) work for one-time digital products?,https://apmcommunication.com/tech-lead
46668394,"Sunday, January 18, 2026",28,13,40,Why the Tech World Thinks the American Dream Is Dying,https://www.wsj.com/tech/ai/why-the-tech-world-thinks-the-american-dream-is-dying-daf793dc
46669025,"Sunday, January 18, 2026",2,259,191,"Statement by Denmark, Finland, France, Germany, the Netherlands,Norway,Sweden,UK",https://www.presidentti.fi/statement-by-denmark-finland-france-germany-the-netherlands-norway-sweden-and-the-united-kingdom-englanniksi/
46669250,"Sunday, January 18, 2026",2,13,3,Solve the MH370 Paradox in 10 Seconds,https://www.researchgate.net/publication/380531233_Solve_the_MH370_Paradox_in_10_Seconds
46670568,"Sunday, January 18, 2026",26,15,3,A pandemic rescue became a 30-year debt trap,https://thehill.com/opinion/finance/5692543-small-business-loan-debt-trap/
46594722,"Sunday, January 18, 2026",15,12,6,River Runner,https://river-runner.samlearner.com/
46588159,"Sunday, January 18, 2026",16,128,69,Milk-V Titan: A $329 8-Core 64-bit RISC-V mini-ITX board with PCIe Gen4x16,https://www.cnx-software.com/2026/01/12/milk-v-titan-a-329-octa-core-64-bit-risc-v-mini-itx-motherboard-with-a-pcie-gen4-x16-slot/
46600955,"Sunday, January 18, 2026",30,23,0,Multiword matrix multiplication over large finite fields in floating-point,https://arxiv.org/abs/2601.07508
46672714,"Sunday, January 18, 2026",20,9,0,EU to Retaliate on Tariffs,https://www.spiegel.de/politik/groenland-plaene-der-usa-eu-plant-gegenzoelle-im-wert-von-93-milliarden-euro-a-2262fda5-0071-4352-bad5-289e8ca37cf9
46674513,"Monday, January 19, 2026",29,4,2,"In Minneapolis, a Pattern of Misconduct Toward Protesters",https://www.nytimes.com/2026/01/18/us/minneapolis-federal-agents-misconduct-protesters.html
46674976,"Monday, January 19, 2026",28,14,5,My thoughts on Gas Town after 10k hours of Claude Code,https://simonhartcher.com/posts/2026-01-19-my-thoughts-on-gas-town-after-10000-hours-of-claude-code/
46676991,"Monday, January 19, 2026",13,31,16,The Jolla Phone Proved We've Been Using Smartphones Wrong All Along,https://techglimmer.io/jolla-phone-2026-review-kill-switch-privacy-review/#Jolla
46677907,"Monday, January 19, 2026",22,8,0,Oxfam's wealth inequality report 2026: Resisting the Rule of the Rich,https://policy-practice.oxfam.org/resources/resisting-the-rule-of-the-rich-621776/
46677549,"Monday, January 19, 2026",27,21,22,Show HN: Kacet – a freelancer marketplace with crypto-native payments,https://kacet.com/
46678163,"Monday, January 19, 2026",8,13,2,Are you tired of AI stigma?,https://slopper.robot-future.com/
46679230,"Monday, January 19, 2026",9,15,2,Sweden deploys fighter jets to Iceland,https://www.sverigesradio.se/artikel/sverige-skickar-stridsflyg-till-island
46679515,"Monday, January 19, 2026",23,10,4,Idiocracy,https://pt.wikipedia.org/wiki/Idiocracy
46626441,"Monday, January 19, 2026",17,68,17,Vm0,https://github.com/vm0-ai/vm0
46680261,"Monday, January 19, 2026",5,11,15,Are You YES AI or No AI?,https://voteyesornoai.com
46673809,"Monday, January 19, 2026",15,285,377,Show HN: I quit coding years ago. AI brought me back,https://calquio.com
46682806,"Monday, January 19, 2026",7,57,18,US Places Arctic Airborne Troops on Standby as Greenland Dispute Escalates,https://www.thedefensenews.com/news-details/Pentagon-Places-1500-Arctic-Trained-Airborne-Troops-on-Standby-as-Greenland-Dispute-Escalates/
46683447,"Monday, January 19, 2026",8,2,0,The unreasonable effectiveness of pattern matching,https://arxiv.org/abs/2601.11432
46607969,"Monday, January 19, 2026",27,55,62,Two Concepts of Intelligence,https://cacm.acm.org/blogcacm/two-concepts-of-intelligence/
46685325,"Monday, January 19, 2026",7,13,0,What Have Unions Done for Us?,https://whathaveunionsdoneforus.uk/
46688787,"Tuesday, January 20, 2026",1,10,4,"You did not vote for Him, but you helped Him win",https://eurodivergent.bearblog.dev/you-didnt-vote-for-him-but-you-helped-him-win/
46689143,"Tuesday, January 20, 2026",7,64,2,America Is Slow-Walking into a Polymarket Disaster,https://www.theatlantic.com/technology/2026/01/america-polymarket-disaster/685662/
46644356,"Tuesday, January 20, 2026",4,4,0,Show HN: Bettershot an OSS Alternative of Cleanshot,https://github.com/KartikLabhshetwar/better-shot
46692087,"Tuesday, January 20, 2026",23,6,0,Minneapolis software engineers mistaken for ICE agents,https://www.foxnews.com/us/minneapolis-software-engineers-mistaken-ice-agents-eating-lunch-harassed-anti-ice-crowd
46692284,"Tuesday, January 20, 2026",25,5,1,Vibe coding is a hobby. Let me explain,https://medium.com/@wob/vibe-coding-is-a-hobby-let-me-explain-a54949c3b455
46693363,"Tuesday, January 20, 2026",13,11,2,US citizen says ICE removed him from his Minnesota home in his underwear,https://apnews.com/article/minnesota-immigration-us-citizen-detained-hmong-d009590a491c0c8243ef21ef24db7182
46693456,"Tuesday, January 20, 2026",12,13,4,"'AI' is a dick move, redux",https://www.baldurbjarnason.com/notes/2026/note-on-debating-llm-fans/
46693021,"Tuesday, January 20, 2026",22,17,19,Claude Code is the ChatGPT moment repeated and awful news for software stocks,https://sherwood.news/markets/how-claude-code-is-the-chatgpt-moment-repeated-and-why-thats-awful-news-for/
46695492,"Tuesday, January 20, 2026",22,3,0,Show HN: Typing Tennis,https://typingtennis.com
46696300,"Tuesday, January 20, 2026",14,64,38,"Without benchmarking LLMs, you're likely overpaying 5-10x",https://karllorey.com/posts/without-benchmarking-llms-youre-overpaying
46632593,"Wednesday, January 21, 2026",18,12,0,Catching API regressions with snapshot testing,https://kreya.app/blog/api-snapshot-testing/
46701239,"Wednesday, January 21, 2026",4,12,4,Germany Forces Lexus to Remotely Kill Car Heating in Dead of Winter,https://www.gadgetreview.com/germany-forces-lexus-to-remotely-kill-car-heating-in-dead-of-winter
46663686,"Wednesday, January 21, 2026",29,12,2,The life of a playboy publisher who shaped 20th-century literature,https://www.washingtonpost.com/books/2026/01/09/bennett-cerf-biography-nothing-random-feldman-book-review/
46702019,"Wednesday, January 21, 2026",22,8,1,EU moves closer to using its trade bazooka against the US,https://www.politico.eu/article/eu-bazooka-trade-us-greenland-france-threat-nato/
46703243,"Wednesday, January 21, 2026",10,4,1,Leave X – Protect Democracy,https://leavex.eu
46702411,"Wednesday, January 21, 2026",4,32,40,Can you slim macOS down?,https://eclecticlight.co/2026/01/21/can-you-slim-macos-down/
46703643,"Wednesday, January 21, 2026",30,33,19,EU chief says EU should abandon caution after Bessent calls Denmark 'irrelevant',https://www.theguardian.com/world/live/2026/jan/21/europe-donald-trump-davos-speech-greenland-denmark-latest-updates
46705402,"Wednesday, January 21, 2026",21,10,1,Europe has a lot to learn from Mark Carney,https://www.newstatesman.com/world/americas/north-america/us/2026/01/europe-has-a-lot-to-learn-from-mark-carney
46705385,"Wednesday, January 21, 2026",29,58,35,Canada Announces Divorce from America,https://charlotteclymer.substack.com/p/canada-announces-divorce-from-america
46665751,"Wednesday, January 21, 2026",22,25,41,Hypnosis with Aphantasia,https://aphantasia.com/article/stories/hypnosis-with-aphantasia
